MAV_total,VAR_total,RMS_total,Wav_Leng,Dasdv,Damv,iav,Dedo_anular
301.91,123273.8686868687,349.3438563936684,1332,25.131572963027196,150.53580000000002,30191,Dedo anular
321.82608695652175,134779.88235294117,364.4537703531652,1043,25.896570293017113,151.87523629489607,22206,Dedo anular
395.51,186432.1717171717,429.613605464259,1481,26.528239194252503,156.85080000000002,39551,Dedo anular
481.99,244362.0909090909,491.8520814228603,1814,29.49987159704978,71.886,48199,Dedo anular
523.47,298002.4747474748,543.1596910670011,2276,40.83423004581259,126.38979999999998,52347,Dedo anular
491.18,252979.85858585857,500.44985762811444,1894,27.70114682379658,63.199200000000026,49118,Dedo anular
484.88,252607.51515151514,500.0814333686065,2124,33.69320885923933,101.83680000000004,48488,Dedo anular
612.03,403848.0303030303,632.3049501624987,1848,24.30737511226757,148.93479999999997,61203,Dedo anular
796.4,656342.303030303,806.0886303626916,2034,33.162593019207286,109.24800000000003,79640,Dedo anular
579.4,352572.202020202,590.8015572085097,2283,34.23404295390331,92.17199999999998,57940,Dedo anular
501.74,262221.0505050505,509.50842976343387,1862,32.07598302263996,61.40199999999999,50174,Dedo anular
383.23,149750.25252525252,385.0360372744349,1555,20.25519013173481,28.113000000000003,38323,Dedo anular
459.33,220189.78787878787,466.89173263188115,2227,33.90524526626605,66.7556,45933,Dedo anular
444.94,205909.35353535353,451.4977962293947,1911,28.436532201313923,52.45119999999999,44494,Dedo anular
430.94,200969.1717171717,446.0487417312149,1724,26.31318753750367,85.29240000000001,43094,Dedo anular
475.84,242456.30303030304,489.9303419875115,2142,30.471049349913248,94.08239999999999,47584,Dedo anular
433.13,206702.81818181818,452.3668754451413,2308,39.067928410692964,95.90019999999997,43313,Dedo anular
425.54,195454.72727272726,439.88655355670966,2203,33.614721402229335,83.33759999999998,42554,Dedo anular
467.84,232400.44444444444,479.6628399198754,2174,32.929063641762305,85.04239999999999,46784,Dedo anular
780.29,687282.4141414141,824.8694381536995,1262,24.829519739718094,252.66359999999997,78029,Dedo anular
673.19,468695.44444444444,681.181686483129,2101,32.14440272057682,92.6014,67319,Dedo anular
528.12,304852.76767676766,549.3671267922754,2055,33.71014294502083,129.02,52812,Dedo anular
604.24,385379.1111111111,617.6773591447237,1659,24.581959386361522,122.76080000000002,60424,Dedo anular
847.27,756288.2121212122,865.2891597610593,1637,22.708295107001465,170.71919999999997,84727,Dedo anular
652.97,452362.83838383836,669.2078974429396,1804,25.310994935925862,120.91719999999995,65297,Dedo anular
619.94,399907.37373737374,629.2124442507475,1381,18.231120025213407,93.05799999999995,61994,Dedo anular
