MAV_total,VAR_total,RMS_total,Wav_Leng,Dasdv,Damv,iav,Mano_cerrada
426.0,213946.8282828283,460.22533611264816,2495,41.235343279200855,140.62,42600,Mano cerrada
357.2586206896552,145775.63157894736,378.500011387965,1094,29.77753774887986,99.20868014268726,20721,Mano cerrada
426.0,213946.8282828283,460.22533611264816,2495,41.235343279200855,140.62,42600,Mano cerrada
552.25,418530.2727272727,643.69633368538,2320,46.979686132315834,316.32,55225,Mano cerrada
825.05,701197.0202020202,833.1776821302885,1776,27.477079520755094,100.41900000000001,82505,Mano cerrada
719.1,558972.4444444445,743.8969821151313,1922,24.973925796657795,164.072,71910,Mano cerrada
936.2,900977.7575757576,944.4405645671939,1707,44.60182992124014,102.46399999999994,93620,Mano cerrada
991.78,995844.303030303,992.9178515869276,1174,18.969406523093543,36.488,99178,Mano cerrada
835.04,714497.3737373737,841.0424483936587,2528,39.92619453568059,81.5024,83504,Mano cerrada
567.52,344330.9090909091,583.8558041160505,1687,22.041054439569827,120.3152,56752,Mano cerrada
683.72,478044.54545454547,687.9419306889208,1965,26.457704001105256,68.42560000000002,68372,Mano cerrada
679.14,472079.8585858586,683.6366432542949,1612,23.737197506330556,64.07960000000001,67914,Mano cerrada
561.8,331839.75757575757,573.1678288250309,1742,25.353660106739635,97.73599999999996,56180,Mano cerrada
654.02,455919.61616161617,671.8336252376774,2934,54.23536436196172,127.77799999999999,65402,Mano cerrada
563.83,355534.41414141416,593.2782399515424,2221,31.978686083645833,157.4934,56383,Mano cerrada
462.74,236740.52525252526,484.1209766163825,1758,25.504604456545657,118.8012,46274,Mano cerrada
462.46,229723.75757575757,476.8925665178689,1929,25.519056060564274,107.17520000000005,46246,Mano cerrada
572.62,367315.51515151514,603.0276610571027,2105,28.942820676065224,168.71919999999997,57262,Mano cerrada
629.95,416297.42424242425,641.9769855687974,1912,24.681813531260605,95.20500000000004,62995,Mano cerrada
565.22,341455.797979798,581.413140546376,2157,35.066027186241996,100.92360000000004,56522,Mano cerrada
549.23,320921.48484848486,563.6597111733284,2360,30.53727644249324,113.6776,54923,Mano cerrada
456.63,245142.7373737374,492.6370976692681,2402,35.930629009385584,141.78199999999998,45663,Mano cerrada
514.52,292609.69696969696,538.2226305164063,1800,32.9278366164925,129.59039999999996,51452,Mano cerrada
479.19,245447.74747474748,492.94347546143666,2032,28.941948165877907,97.16900000000005,47919,Mano cerrada
356.67,137045.60606060605,368.34107834994455,1756,27.559668966360128,71.81080000000001,35667,Mano cerrada
491.57,262152.43434343435,509.4417631093862,2340,37.35253835031993,108.74959999999999,49157,Mano cerrada
445.37,209921.54545454544,455.87534480381805,1999,32.51588578345711,66.101,44537,Mano cerrada
441.84,236316.8686868687,483.68760579531084,2359,38.52154060923694,147.5032,44184,Mano cerrada
421.6,213422.40404040404,459.66094025923064,2241,31.77843115807775,142.07600000000002,42160,Mano cerrada
499.42,298537.35353535356,543.646925862733,2604,41.723234328468386,164.8048,49942,Mano cerrada
614.75,417188.61616161617,642.6637767915662,2788,39.161927501804165,158.0,61475,Mano cerrada
544.83,317203.7272727273,560.3853049465163,2384,34.17128571881321,108.993,54483,Mano cerrada
471.52,230368.101010101,477.56090711028685,2212,30.343155252990265,64.88960000000002,47152,Mano cerrada
363.14,136155.21212121213,367.14256086702886,1812,24.468491386006427,41.19079999999999,36314,Mano cerrada
329.64,112693.09090909091,334.0152092345497,1579,20.73132602579678,39.736799999999995,32964,Mano cerrada
410.75,206372.0909090909,452.0048340449469,2604,40.196989685770994,152.67,41075,Mano cerrada
354.08,136877.63636363635,368.1152808564187,1789,23.682453121638094,76.9904,35408,Mano cerrada
422.31,206068.55555555556,451.67230377786063,2280,32.71054566924553,134.5148,42231,Mano cerrada
286.27,88627.92929292929,296.21217058048103,1253,16.77028396427515,59.731,28627,Mano cerrada
313.01,107268.41414141415,325.87686324745425,1497,19.92181688197108,78.8924,31301,Mano cerrada
370.91,151354.85858585857,387.09341249884375,2000,27.61093327585354,88.70299999999999,37091,Mano cerrada
342.96,130108.66666666667,358.89772916528744,1696,23.331168730765167,80.6816,34296,Mano cerrada
301.14,97254.74747474748,310.2937318090715,1350,18.786950123676142,65.63960000000002,30114,Mano cerrada
497.1,289653.4747474748,535.4969094215204,1837,26.156676340309698,164.012,49710,Mano cerrada
813.26,709751.4141414141,838.2445347271881,1771,25.323961583903696,174.92959999999997,81326,Mano cerrada
785.93,638091.9696969697,794.8025226432035,1662,27.534001019125647,107.6398,78593,Mano cerrada
730.51,553721.101010101,740.3944151599201,1799,26.663067938989915,106.581,73051,Mano cerrada
501.38,283784.0808080808,530.0436208464356,2023,29.730268900379777,142.41120000000006,50138,Mano cerrada
409.47,177522.85858585857,419.22264967437053,1463,21.51508749456971,77.04060000000001,40947,Mano cerrada
376.37,153502.81818181818,389.83046315032897,1714,23.923278043011422,84.81800000000003,37637,Mano cerrada
465.23,261619.58585858587,508.9237565687026,1780,25.19299245200674,183.4438,46523,Mano cerrada
798.63,693486.9797979798,828.5844012531252,1777,23.4359216640273,184.05140000000006,79863,Mano cerrada
474.09,255224.1313131313,502.6647889001178,1888,29.40040541189591,147.5116,47409,Mano cerrada
446.62,204011.31313131313,449.41206036331516,1416,19.11580867800631,39.16759999999999,44662,Mano cerrada
426.69,190484.1717171717,434.2572164052084,1886,26.439181209528844,67.1652,42669,Mano cerrada
