MAV_total,VAR_total,RMS_total,Wav_Leng,Dasdv,Damv,iav,Dedo_corazon
275.66,102332.14141414141,318.2904648273335,1580,28.146801314579676,114.55640000000002,27566,Dedo corazon
351.675,178513.11392405065,419.859143046808,2490,65.9136373972542,186.82,28134,Dedo corazon
225.35,70001.48484848485,263.25172364108084,1364,30.48165535418497,92.314,22535,Dedo corazon
455.77,216445.0606060606,462.90453659474974,1975,28.51173779199002,63.681000000000004,45577,Dedo corazon
483.46,247957.65656565657,495.4574451958513,2065,30.490435658853198,95.28440000000005,48346,Dedo corazon
627.35,403781.64646464644,632.252979431493,1903,26.452740401468326,63.832000000000015,62735,Dedo corazon
512.57,297477.38383838383,542.6809467818084,2523,45.1514846450985,141.79520000000005,51257,Dedo corazon
453.48,227908.7676767677,475.0049262902439,2224,35.27639780964381,107.72960000000003,45348,Dedo corazon
411.83,182971.0202020202,425.6069900741763,1929,34.06129353344816,76.5084,41183,Dedo corazon
353.23,131817.56565656565,361.2469930670704,1550,20.783151684462922,57.855800000000016,35323,Dedo corazon
350.32,125517.31313131313,352.508354510925,1313,17.055168948995725,31.904799999999994,35032,Dedo corazon
371.16,143057.9393939394,376.3341068784491,1551,21.83755453064257,45.81440000000001,37116,Dedo corazon
423.05,188300.7373737374,431.76119556995855,1452,19.955506062794353,72.31700000000001,42305,Dedo corazon
595.92,372056.36363636365,606.9067473673365,2617,36.476504129855336,98.73519999999999,59592,Dedo corazon
533.35,306079.202020202,550.4710800759655,1996,31.02654451669513,106.21400000000001,53335,Dedo corazon
486.25,253901.88888888888,501.36101763100805,2103,31.398545935579357,91.685,48625,Dedo corazon
409.01,175658.63636363635,417.0156471884478,1702,21.377322072464995,54.152800000000006,40901,Dedo corazon
403.36,168909.47474747474,408.9258857054662,1849,26.209528685945383,46.0664,40336,Dedo corazon
500.3,264653.89898989897,511.8665451072183,2045,26.32220708562612,78.87799999999999,50030,Dedo corazon
442.61,209753.30303030304,455.69262666845947,1950,33.97265686020765,75.92720000000003,44261,Dedo corazon
407.88,172388.74747474748,413.11603696782333,1469,21.94920674574999,40.824,40788,Dedo corazon
414.85,177277.46464646465,418.93279890693685,1657,20.99134020581734,46.267999999999994,41485,Dedo corazon
446.96,211732.56565656565,457.83756945012715,1744,26.292834219861717,72.3,44696,Dedo corazon
419.83,184890.1313131313,427.83318010645223,1767,23.629078131263043,61.858999999999995,41983,Dedo corazon
