MAV_total,VAR_total,RMS_total,Wav_Leng,Dasdv,Damv,iav,Dedo_pulgar
274.77,85168.0303030303,290.3727776496964,1182,18.432514092157255,73.8502,27477,Dedo pulgar
306.54347826086956,106748.28571428571,324.943038486547,1297,21.868488041718138,92.03922495274098,28202,Dedo pulgar
340.6,122895.0505050505,348.8066799819063,1275,16.925564908585695,58.172000000000025,34060,Dedo pulgar
214.9,47980.56565656565,217.9466907296369,1419,18.500068249942355,29.192000000000004,21490,Dedo pulgar
226.21,53161.444444444445,229.41192209647693,1636,19.44274162818099,30.539399999999997,22621,Dedo pulgar
271.75,76130.15151515152,274.5338776908963,1711,21.876374415696894,33.035,27175,Dedo pulgar
244.57,61616.79797979798,246.9830560989964,1584,20.03985927086215,26.078400000000002,24457,Dedo pulgar
252.29,65215.22222222222,254.09264058606655,1432,18.437445428784162,25.2474,25229,Dedo pulgar
269.19,74907.76767676767,272.3209319901796,1452,19.48581457617232,34.056599999999996,26919,Dedo pulgar
336.42,116988.32323232324,340.32108368421723,1454,19.190696399110386,42.0116,33642,Dedo pulgar
305.51,97831.88888888889,311.2130620652032,1554,19.870286430453962,47.00880000000001,30551,Dedo pulgar
287.87,86078.73737373737,291.9211366105579,1454,18.306592067649103,41.2622,28787,Dedo pulgar
260.83,72528.0303030303,267.96035154477613,1555,22.28533965719086,48.3564,26083,Dedo pulgar
261.13,71548.35353535354,266.14445325800045,1656,21.47584972037477,40.6708,26113,Dedo pulgar
307.9,99290.28282828283,313.5241298528711,1836,23.374854831289078,51.18599999999999,30790,Dedo pulgar
286.63,85191.70707070707,290.41313675520945,1675,20.822239470471388,37.4004,28663,Dedo pulgar
221.17,51816.71717171717,226.49183208230713,1179,15.709162223930905,41.246999999999986,22117,Dedo pulgar
229.13,56922.47474747475,237.3883948300759,1369,17.906321890225353,51.8534,22913,Dedo pulgar
237.41,60174.454545454544,244.07521381738047,1245,16.267026821646347,48.56379999999999,23741,Dedo pulgar
213.75,47247.343434343435,216.27498699572266,1178,15.149757473806355,28.565,21375,Dedo pulgar
211.08,48388.545454545456,218.87133206521133,1166,14.71342409110974,41.76400000000002,21108,Dedo pulgar
234.27,60267.40404040404,244.26364854394524,1431,19.348739942790523,57.62940000000001,23427,Dedo pulgar
210.62,46618.606060606064,214.83114299374753,1150,14.205561579817244,38.1088,21062,Dedo pulgar
210.61,46841.707070707074,215.3445843293952,1268,18.014023717788607,31.388599999999997,21061,Dedo pulgar
240.43,60691.121212121216,245.12080695036886,1437,17.349351572897472,38.181599999999996,24043,Dedo pulgar
221.33,51672.27272727273,226.17592710100692,1273,16.85199985134996,40.3696,22133,Dedo pulgar
248.6,65771.23232323233,255.17350959690154,1342,18.293344818443256,46.883999999999986,24860,Dedo pulgar
264.7,73595.77777777778,269.92558233705824,1477,19.473110183070915,42.09799999999999,26470,Dedo pulgar
225.58,52291.61616161616,227.5273609920354,1156,15.68631907302048,22.9276,22558,Dedo pulgar
199.82,41383.0505050505,202.408547250357,1234,16.532184710833935,23.618799999999993,19982,Dedo pulgar
207.61,44961.82828282828,210.97916958790032,1058,13.563170571794632,29.18080000000001,20761,Dedo pulgar
220.0,50472.545454545456,223.534829500908,1228,15.40300377369704,31.86,22000,Dedo pulgar
192.96,38873.656565656565,196.17573754162362,1120,14.573394881901692,28.630399999999998,19296,Dedo pulgar
194.33,38859.606060606064,196.14028143142858,1025,12.745765785332221,19.6888,19433,Dedo pulgar
205.99,43836.73737373737,208.32275439807339,1140,15.044714498568405,23.887599999999992,20599,Dedo pulgar
230.11,54930.15151515151,233.1970197065134,1135,15.030272482862408,33.138799999999996,23011,Dedo pulgar
236.8,59189.030303030304,242.06846139057438,1330,17.202301936636037,35.83200000000001,23680,Dedo pulgar
234.43,57938.57575757576,239.4977870461437,1351,17.320799664279388,41.4216,23443,Dedo pulgar
194.69,39095.38383838384,196.73441488463578,1218,15.442954655273986,22.443199999999997,19469,Dedo pulgar
208.45,45487.36363636364,212.20860020272505,1254,16.314460339270074,33.22899999999999,20845,Dedo pulgar
226.85,54213.444444444445,231.6706930105748,1326,17.790021036661212,38.35099999999999,22685,Dedo pulgar
224.02,53236.767676767675,229.57438881547742,1317,17.84755875562127,40.3044,22402,Dedo pulgar
