MAV_total,VAR_total,RMS_total,Dedo_corazon
520.5561097256858,290215.2425,538.044155916325,Dedo corazon
392.14463840399003,165714.37,406.57240094106555,Dedo corazon
480.8877805486284,250445.185,499.8206012325411,Dedo corazon
449.788029925187,214182.4875,462.2211230391155,Dedo corazon
428.05486284289276,191301.14,436.8341559453642,Dedo corazon
425.0947630922693,188113.6475,433.1795657225777,Dedo corazon
452.80299251870326,210084.245,457.7776142841094,Dedo corazon
413.60598503740647,177879.685,421.23164026826413,Dedo corazon
400.3466334164589,163889.9575,404.32815183225836,Dedo corazon
365.9975,137659.29573934837,370.5605854647793,Dedo corazon
386.3690773067332,153935.105,391.8561304007739,Dedo corazon
383.28179551122196,152444.4,389.9541503837294,Dedo corazon
412.1695760598504,173028.22,415.44762387038764,Dedo corazon
423.09226932668327,187302.105,432.2441641669198,Dedo corazon
449.43142144638404,221015.615,469.5364244287515,Dedo corazon
388.7356608478803,156131.7825,394.6421498445335,Dedo corazon
403.8079800498753,170074.9075,411.8868540614381,Dedo corazon
420.8902743142145,183968.8125,428.3807154932208,Dedo corazon
443.2917705735661,206118.83,453.4366746913093,Dedo corazon
410.5586034912718,178745.955,422.2560887527592,Dedo corazon
403.6209476309227,170986.175,412.9888322474317,Dedo corazon
384.6384039900249,154851.98,393.0213931344535,Dedo corazon
387.3067331670823,157281.3,396.0922585796561,Dedo corazon
389.79052369077306,161008.975,400.7586011043334,Dedo corazon
393.5925,162157.1403508772,402.1837235642437,Dedo corazon
409.33416458852867,174286.0475,416.95493635717816,Dedo corazon
413.3142144638404,176733.9925,419.87290857070184,Dedo corazon
455.211970074813,221223.12,469.7567896225756,Dedo corazon
438.1920199501247,197864.5175,444.2646618577277,Dedo corazon
418.00997506234415,181820.01,425.8715692743641,Dedo corazon
407.06982543640896,170013.1075,411.81201374333614,Dedo corazon
400.8354114713217,165049.1175,405.75549742520195,Dedo corazon
422.23192019950125,186653.8775,431.49554630817516,Dedo corazon
402.359102244389,167373.04,408.6020691000205,Dedo corazon
416.3790523690773,182020.89,426.10676193716824,Dedo corazon
430.8678304239402,190953.46,436.43701359178704,Dedo corazon
444.5785536159601,205739.22,453.0189340562559,Dedo corazon
434.788029925187,197713.885,444.0955222896373,Dedo corazon
429.3615960099751,191658.445,437.24191675271254,Dedo corazon
439.03990024937656,201552.4125,448.3857580587559,Dedo corazon
417.0074812967581,180760.77,424.62924417951814,Dedo corazon
429.54862842892766,195485.7375,441.5860526502868,Dedo corazon
409.61346633416457,175677.8275,418.61644518526873,Dedo corazon
428.8802992518703,191703.1375,437.29289362276126,Dedo corazon
445.3291770573566,212434.6725,460.3313048494952,Dedo corazon
436.75311720698255,201031.0,447.805399487851,Dedo corazon
415.79052369077306,183916.89,428.3202591391486,Dedo corazon
429.4912718204489,193565.375,439.411729849326,Dedo corazon
416.5935162094763,179732.415,423.4196552933957,Dedo corazon
410.1321695760598,175835.1225,418.8038095847425,Dedo corazon
415.6209476309227,181659.69,425.68377149793747,Dedo corazon
394.7281795511222,161969.56,401.95229304643453,Dedo corazon
402.40149625935163,167085.8425,408.25135587779727,Dedo corazon
406.65087281795513,172527.2875,414.8458085696185,Dedo corazon
399.25187032418955,165091.285,405.8073262459818,Dedo corazon
417.8703241895262,180674.93,424.5284078566554,Dedo corazon
420.46633416458855,185881.1875,430.6014902337441,Dedo corazon
399.4039900249377,163689.7725,404.0811410825227,Dedo corazon
375.211970074813,144001.075,379.0012797799144,Dedo corazon
398.8428927680798,164882.99,405.5512427225633,Dedo corazon
410.46134663341644,172647.6275,414.99046349046375,Dedo corazon
415.09226932668327,176393.005,419.4676652550393,Dedo corazon
439.2793017456359,199356.5425,445.9365358601632,Dedo corazon
399.99750623441395,163166.5375,403.43480068530283,Dedo corazon
440.0798004987531,202595.84,449.5448959406993,Dedo corazon
409.48129675810475,174692.8,417.44120197607697,Dedo corazon
428.94513715710724,191641.6075,437.22271013107735,Dedo corazon
439.498753117207,196823.5675,443.0944996959993,Dedo corazon
431.57605985037407,195662.63,441.78580020959583,Dedo corazon
431.76059850374065,196452.46,442.6765790235125,Dedo corazon
448.498753117207,209552.9,457.1983422865028,Dedo corazon
451.79551122194516,214543.82,462.6108494242083,Dedo corazon
445.09725685785537,206981.865,454.38496976476864,Dedo corazon
460.3441396508728,224952.14,473.69944278494046,Dedo corazon
441.5935162094763,207127.2625,454.54453649873284,Dedo corazon
455.0573566084788,217034.75,465.288637524576,Dedo corazon
489.7281795511222,257456.9375,506.76907980793044,Dedo corazon
492.9650872817955,261458.7675,510.69242271982205,Dedo corazon
450.785536159601,217612.7125,465.9077563278849,Dedo corazon
454.1097256857855,220163.22,468.63011484394957,Dedo corazon
450.7281795511222,215518.825,463.6608367881337,Dedo corazon
490.43890274314214,261264.67,510.50282776602444,Dedo corazon
493.2269326683292,260903.965,510.1503030194366,Dedo corazon
488.61346633416457,250780.12,500.1547092321358,Dedo corazon
478.82044887780546,241697.1775,491.01368758570135,Dedo corazon
491.6209476309227,258270.5,507.5691420045273,Dedo corazon
462.8653366583541,223823.7025,472.50982916058643,Dedo corazon
434.7930174563591,198958.35,445.4909589584459,Dedo corazon
428.0423940149626,192047.8775,437.6859091999872,Dedo corazon
462.3690773067332,224464.27,473.18549082593347,Dedo corazon
452.3790523690773,213445.52,461.4252235278547,Dedo corazon
463.07730673316706,225159.75,473.9179827397245,Dedo corazon
483.0523690773067,255754.7,505.0909895560139,Dedo corazon
535.5486284289277,305846.3325,552.3437547772189,Dedo corazon
884.857855361596,806678.525,897.0322501757457,Dedo corazon
781.3042394014963,651707.6525,806.276904285395,Dedo corazon
868.147132169576,791984.9725,888.8250376935399,Dedo corazon
547.8279301745636,319577.9075,564.6069031744294,Dedo corazon
517.5187032418953,280734.7525,529.1830173346566,Dedo corazon
274.8275,121341.24561403508,347.9050049941794,Dedo corazon
402.2568578553616,219060.0575,467.45456791792253,Dedo corazon
333.28927680798006,144347.4325,379.45680102008845,Dedo corazon
371.95261845386534,187280.7475,432.2195197083973,Dedo corazon
354.713216957606,166756.29,407.8485489771211,Dedo corazon
371.2294264339152,197011.2825,443.3057438649322,Dedo corazon
354.5810473815461,164756.6975,405.39589652302317,Dedo corazon
378.6334164588529,183172.28,427.4523263146669,Dedo corazon
363.00498753117205,174269.8675,416.9355817170629,Dedo corazon
400.98254364089775,220626.425,469.1228351018154,Dedo corazon
361.1296758104738,176575.9275,419.6851063936845,Dedo corazon
311.8952618453865,123174.395,350.52421732694637,Dedo corazon
640.0623441396509,433403.4875,657.5124947847037,Dedo corazon
667.4314214463841,478357.56,690.7710535184956,Dedo corazon
406.3516209476309,196845.2875,443.1189473451337,Dedo corazon
424.6708229426434,222264.9925,470.8616736481354,Dedo corazon
310.00249376558605,132686.0175,363.80644534671245,Dedo corazon
340.3216957605985,149853.1575,386.62573485590406,Dedo corazon
349.70324189526184,145194.7725,380.5689041068218,Dedo corazon
306.5062344139651,114315.1375,337.68337587766985,Dedo corazon
313.28927680798006,123836.5625,351.4651378759274,Dedo corazon
