MAV_total,VAR_total,RMS_total,Mano_pinza
371.25436408977555,169075.0075,410.6742919453784,Mano pinza
385.06733167082297,177336.065,420.5874824860342,Mano pinza
379.1695760598504,171396.7875,413.48441819465893,Mano pinza
402.30423940149626,190171.675,435.5426861071672,Mano pinza
468.07730673316706,239312.0425,488.5849510208944,Mano pinza
443.6907730673317,214113.49,462.14666627287505,Mano pinza
423.5960099750623,199870.375,446.5108566845347,Mano pinza
365.573566084788,155392.4375,393.70664864468876,Mano pinza
365.4214463840399,151657.43,388.94630981691995,Mano pinza
380.1197007481297,164490.735,405.0685542791929,Mano pinza
390.4214463840399,173708.2925,416.26326373841187,Mano pinza
386.8977556109726,173681.855,416.23158597958695,Mano pinza
354.77556109725685,152139.0275,389.56338178649145,Mano pinza
408.1845386533666,191656.04,437.2391734086646,Mano pinza
431.6907730673317,208520.62,456.0708480640539,Mano pinza
541.4763092269327,310337.525,556.3844138364227,Mano pinza
397.8653366583541,182981.415,427.22956621047314,Mano pinza
449.00498753117205,219051.8075,467.4457654540233,Mano pinza
363.8503740648379,156275.54,394.8237903627503,Mano pinza
380.6084788029925,164706.83,405.33454056564324,Mano pinza
373.573566084788,166326.7625,407.3229462522838,Mano pinza
487.28179551122196,259805.84,509.07557900291886,Mano pinza
415.01745635910225,193060.56,438.8383668498589,Mano pinza
368.8877805486284,157106.695,395.8723376679322,Mano pinza
383.71571072319205,173567.445,416.0944706179151,Mano pinza
384.1645885286783,175891.965,418.8714978019189,Mano pinza
369.7930174563591,167568.9675,408.84115469893817,Mano pinza
350.0498753117207,149802.245,386.56005137198053,Mano pinza
378.06234413965086,172723.0425,415.08109053617255,Mano pinza
323.5162094763092,133665.24,365.14642299280285,Mano pinza
356.573566084788,158422.57,397.5267302294058,Mano pinza
418.139650872818,200523.175,447.23944057627847,Mano pinza
400.1346633416459,191383.725,436.92843676381125,Mano pinza
397.52618453865335,187007.47,431.9040601881193,Mano pinza
374.47630922693264,165832.8125,406.71767153536877,Mano pinza
398.7506234413965,189117.4525,434.3337862810547,Mano pinza
359.9775561097257,156393.5175,394.9727949215991,Mano pinza
381.0798004987531,171145.4375,413.1811235980603,Mano pinza
356.2992518703242,153631.09,391.46898992744366,Mano pinza
323.1097256857855,126846.8525,355.7112961160197,Mano pinza
419.2793017456359,203576.5625,450.63165698196815,Mano pinza
358.46633416458855,152279.5525,389.74325265810404,Mano pinza
372.2269326683292,164089.8925,404.57470357533145,Mano pinza
406.895,192397.38847117795,438.08263489894233,Mano pinza
364.85536159600997,158253.2525,397.3142408535559,Mano pinza
359.3665835411471,150158.14,387.0189669744947,Mano pinza
477.3366583541147,241739.65,491.05682764833836,Mano pinza
391.4339152119701,166130.4925,407.08254936193526,Mano pinza
428.6708229426434,209148.9775,456.7574947141602,Mano pinza
382.1645885286783,168189.34,409.5972597710708,Mano pinza
387.2942643391521,180209.1825,423.9808757979468,Mano pinza
367.43142144638404,160436.295,400.04525305117426,Mano pinza
369.6558603491272,156925.43,395.6438989332355,Mano pinza
431.99002493765585,215417.355,463.5516741566859,Mano pinza
389.9476309226933,180688.2225,424.54402413522166,Mano pinza
358.9650872817955,159215.2475,398.5200145475914,Mano pinza
375.5361596009975,171183.485,413.2270483840687,Mano pinza
345.56857855361596,145365.9725,380.7932035113009,Mano pinza
404.3516209476309,190805.2025,436.26755443462565,Mano pinza
340.65835411471323,140837.03,374.81437467277937,Mano pinza
375.28428927680795,168691.5025,410.208270804489,Mano pinza
335.2069825436409,132397.405,363.4105624603262,Mano pinza
353.57605985037407,145332.685,380.7496019060571,Mano pinza
364.9501246882793,152680.2125,390.2556390885326,Mano pinza
455.80548628428926,235761.645,484.9471215742929,Mano pinza
301.44389027431424,102651.9175,319.9936369379835,Mano pinza
389.1321695760598,178731.37,422.23886114419776,Mano pinza
385.53366583541145,182720.1625,426.92446784751377,Mano pinza
399.498753117207,188458.5125,433.57645363549454,Mano pinza
390.9501246882793,177813.5625,421.15334161930525,Mano pinza
414.857855361596,195685.74,441.8118894234403,Mano pinza
432.65087281795513,216640.0075,464.86531178905807,Mano pinza
452.3740648379052,234687.055,483.84067677155167,Mano pinza
430.9127182044888,216104.605,464.2905241043234,Mano pinza
540.6009975062344,311290.5225,557.2380433062074,Mano pinza
380.7082294264339,172199.55,414.45159510886106,Mano pinza
483.20199501246884,270524.025,519.4703085800568,Mano pinza
388.6384039900249,172312.455,414.58744328509977,Mano pinza
431.3965087281795,207506.41,454.9603693244724,Mano pinza
456.0199501246883,229312.84,478.2687398640769,Mano pinza
370.7581047381546,158082.395,397.0997035551538,Mano pinza
420.95261845386534,209926.005,457.60517780409475,Mano pinza
413.00498753117205,198193.4775,444.63381498310935,Mano pinza
427.26932668329175,215415.6725,463.54986388653697,Mano pinza
369.4563591022444,165997.2,406.91920806870473,Mano pinza
394.6259351620948,192536.7775,438.2426678339575,Mano pinza
404.6783042394015,196281.955,442.48443341598056,Mano pinza
440.286783042394,228542.3775,477.4646022314533,Mano pinza
515.708229426434,282619.2075,530.956138910159,Mano pinza
406.71820448877804,200798.25,447.5460939773846,Mano pinza
481.7556109725686,256655.3,505.97950733738867,Mano pinza
513.5586034912718,281210.4475,529.631168421564,Mano pinza
495.81296758104736,267715.3225,516.7665848735726,Mano pinza
558.3391521197008,332899.585,576.2546411711768,Mano pinza
469.3765586034913,247971.295,497.3458683031402,Mano pinza
354.6783042394015,149908.84,386.6975594618688,Mano pinza
388.3815461346633,176590.5825,419.70252201117836,Mano pinza
419.38653366583543,196589.815,442.83130657710734,Mano pinza
386.6234413965087,180217.61,423.9907894355543,Mano pinza
232.97256857855362,60514.14,245.6892995638994,Mano pinza
348.19451371571074,129380.49,359.24621833296123,Mano pinza
320.6558603491272,110919.9275,332.630905362077,Mano pinza
