MAV_total,VAR_total,RMS_total,Mano_abierta
184.98753117206982,38343.89,195.57164755322611,Mano abierta
286.73067331670825,92127.1475,303.1458460708722,Mano abierta
187.76807980049875,41163.3175,202.63431554258392,Mano abierta
143.0773067331671,20731.17,143.8035859138977,Mano abierta
163.63840399002493,28443.9925,168.44304631053805,Mano abierta
130.0648379052369,17075.68,130.51090857417955,Mano abierta
149.38403990024938,22717.1775,150.53413627658895,Mano abierta
206.58852867830424,46773.04,216.00092361490903,Mano abierta
173.72568578553617,30298.75,173.84818670308334,Mano abierta
166.28927680798006,27776.02,166.4534563089844,Mano abierta
158.70324189526184,25309.235,158.89027566452307,Mano abierta
167.10224438902742,28091.915,167.3973128491828,Mano abierta
162.7057356608479,26636.1325,163.0021724684258,Mano abierta
158.40648379052368,25269.7825,158.76638682679314,Mano abierta
208.88029925187033,46767.4175,215.98794069042552,Mano abierta
228.07231920199501,55636.2525,235.57909229848804,Mano abierta
183.96259351620947,34725.1975,186.11448357800163,Mano abierta
155.55361596009976,24569.2625,156.5502875075713,Mano abierta
151.58852867830424,23153.6475,151.9733783617161,Mano abierta
154.89775561097258,24181.615,155.31037222509724,Mano abierta
154.74563591022445,24074.0225,154.9644718352309,Mano abierta
143.03241895261846,20562.57,143.21763777752224,Mano abierta
162.0573566084788,26803.0725,163.51217667256313,Mano abierta
151.85785536159602,23454.2725,152.95680122960866,Mano abierta
154.07481296758104,24190.745,155.339688916318,Mano abierta
148.45137157107231,22456.8375,149.66908635877792,Mano abierta
154.80299251870323,24308.855,155.71844596567578,Mano abierta
150.89526184538653,23181.8325,152.06584903879724,Mano abierta
155.8229426433915,24450.6025,156.17179139949596,Mano abierta
159.51620947630923,25627.775,159.88703930168435,Mano abierta
146.428927680798,21833.235,147.57638032532574,Mano abierta
148.1221945137157,22190.4675,148.7787944426573,Mano abierta
142.49875311720697,20428.505,142.74999508671397,Mano abierta
142.71820448877804,20473.665,142.90769216106946,Mano abierta
165.0224438902743,27568.3,165.8298860947402,Mano abierta
155.26683291770573,24250.17,155.53036925500595,Mano abierta
156.5137157107232,24676.99,156.89312085483886,Mano abierta
155.4862842892768,24324.085,155.76721873974387,Mano abierta
162.8279301745636,26759.42,163.3789713497479,Mano abierta
155.7206982543641,24636.885,156.76557780341926,Mano abierta
150.98254364089775,23161.735,151.99991796821516,Mano abierta
155.01745635910225,24569.77,156.5519043420335,Mano abierta
139.05236907730674,19429.965,139.21749610571632,Mano abierta
141.53117206982543,20366.625,142.5336290545895,Mano abierta
154.9002493765586,24726.5975,157.05074072443836,Mano abierta
137.04488778054863,18857.8525,137.15256263157818,Mano abierta
136.61097256857855,18739.9125,136.7230030065248,Mano abierta
149.54862842892769,22512.8325,149.85556637331604,Mano abierta
145.9925187032419,21469.0075,146.3402501977162,Mano abierta
155.00997506234415,24666.3775,156.8593807735398,Mano abierta
148.9775561097257,22835.865,150.92686210789537,Mano abierta
144.71571072319202,21297.3175,145.75392613080322,Mano abierta
148.8778054862843,22669.95,150.37757964155716,Mano abierta
152.6583541147132,23664.295,153.64010477577534,Mano abierta
148.0997506234414,22042.43,148.28169592580676,Mano abierta
141.35910224438902,20114.2475,141.64775777185994,Mano abierta
144.30673316708229,20940.7175,144.52853095272096,Mano abierta
152.13715710723193,23731.1525,153.85698738951882,Mano abierta
147.67830423940148,22468.1025,149.70662082620794,Mano abierta
155.7930174563591,25066.8775,158.12769075510192,Mano abierta
174.77306733167083,36278.97,190.2327488975471,Mano abierta
136.7356608478803,18826.0875,137.03700102845514,Mano abierta
150.8054862842893,23024.3775,151.5485404078529,Mano abierta
151.24438902743142,22999.2175,151.46571507404826,Mano abierta
153.44638403990024,23806.73,154.1017897235784,Mano abierta
145.41895261845386,21288.0475,145.72220180792846,Mano abierta
140.66334164588528,19906.685,140.91501834089567,Mano abierta
142.26932668329178,20380.64,142.58266185391068,Mano abierta
138.49127182044887,19308.0525,138.78005167581594,Mano abierta
141.01246882793018,20008.31,141.27425089196998,Mano abierta
135.49625935162095,18434.51,135.60434599734106,Mano abierta
138.22443890274315,19217.405,138.45389592480996,Mano abierta
139.12468827930175,19430.7075,139.22015612088714,Mano abierta
145.26184538653368,21259.22,145.6235025288777,Mano abierta
135.84788029925187,18575.4975,136.12191066683945,Mano abierta
141.2069825436409,20071.07,141.4956446550886,Mano abierta
140.3865336658354,19845.9825,140.70000451961772,Mano abierta
143.9077306733167,20913.1725,144.43344470767389,Mano abierta
158.47630922693267,25286.8325,158.81993913653181,Mano abierta
154.6059850374065,24060.8725,154.92214278207467,Mano abierta
157.50374064837905,25014.8375,157.96346526682126,Mano abierta
156.25436408977555,24596.155,156.63594081535763,Mano abierta
155.09476309226932,24221.5675,155.4386200032948,Mano abierta
146.34413965087282,21540.18,146.58261779760588,Mano abierta
147.8079800498753,21983.6825,148.0839638486463,Mano abierta
147.92518703241896,22000.505,148.14061191231664,Mano abierta
146.62593516209478,21600.4725,146.78762204299588,Mano abierta
145.61845386533665,21313.4625,145.80916199161922,Mano abierta
142.65586034912718,20443.6525,142.80290901428668,Mano abierta
147.48379052369077,21853.1525,147.64367870094924,Mano abierta
147.82543640897757,21998.525,148.13394558780735,Mano abierta
137.88279301745635,19086.9525,137.98316605554902,Mano abierta
140.61097256857855,19889.9175,140.8556591274537,Mano abierta
141.6583541147132,20242.0175,142.09693400410364,Mano abierta
142.22443890274315,20379.89,142.58003833521306,Mano abierta
146.50374064837905,21638.965,146.91835315496013,Mano abierta
142.32668329177056,20366.8075,142.534267656445,Mano abierta
146.89027431421445,21724.6975,147.20910704507205,Mano abierta
141.03740648379053,20023.04,141.32624396027865,Mano abierta
133.08977556109727,17779.1475,133.17210846801015,Mano abierta
137.375,19314.59574468085,137.5216649598649,Mano abierta
210.13466334164588,45452.395,212.92967708035943,Mano abierta
304.69576059850374,109731.7225,330.8444911234478,Mano abierta
471.1296758104738,239615.5475,488.8946742333829,Mano abierta
238.94513715710724,60146.0925,244.94101788877467,Mano abierta
191.16708229426433,36758.805,191.48665007542232,Mano abierta
182.29177057356608,33590.5675,183.0486287814064,Mano abierta
185.5511221945137,34703.685,186.05682504180922,Mano abierta
183.4488778054863,34261.2425,184.8669872976749,Mano abierta
189.11970074812967,36042.1075,189.6107247300857,Mano abierta
179.48379052369077,32411.8325,179.80824504880516,Mano abierta
175.07980049875312,30833.9325,175.37685109571723,Mano abierta
202.50124688279303,41389.7625,203.19091056113544,Mano abierta
327.40897755610973,122319.1975,349.30525632283735,Mano abierta
176.3715710723192,31340.2775,176.81097871601105,Mano abierta
191.23940149625935,36894.0525,191.83859721533136,Mano abierta
197.3640897755611,39272.3075,197.92516659351918,Mano abierta
162.64837905236908,26592.15,162.8675394652701,Mano abierta
155.36658354114712,24300.605,155.69201966552805,Mano abierta
157.10972568578555,24812.0625,157.32192165244788,Mano abierta
157.50374064837905,24960.8625,157.7929528214101,Mano abierta
152.25187032418953,23296.8575,152.44264691517182,Mano abierta
163.8852867830424,27325.37,165.09762848892873,Mano abierta
172.26932668329178,29900.315,172.70133358906466,Mano abierta
156.4862842892768,24649.0825,156.8043796146465,Mano abierta
159.49875311720697,25577.3825,159.72976711853258,Mano abierta
168.89775561097258,28812.845,169.53168588409437,Mano abierta
356.74812967581045,157868.21,396.83059822898366,Mano abierta
323.0648379052369,125554.5375,353.8946649996464,Mano abierta
180.59351620947632,34776.21,186.25113767246972,Mano abierta
216.90523690773068,56848.6275,238.13202293922416,Mano abierta
166.4139650872818,28045.735,167.25966492619176,Mano abierta
128.36159600997507,46534.0125,215.4482944491494,Mano abierta
21.376558603491272,492.745,22.170164850003015,Mano abierta
27.124688279301747,769.9175,27.712767928058252,Mano abierta
88.92019950124688,37019.7625,192.16514743905648,Mano abierta
390.31172069825436,174972.5975,417.77536650436366,Mano abierta
131.9351620947631,22765.365,150.69370761982557,Mano abierta
49.13715710723192,2609.685,51.02133923523185,Mano abierta
31.591022443890274,1053.99,32.4247065678315,Mano abierta
32.15461346633416,1092.16,33.00661159491468,Mano abierta
29.92269326683292,922.2475,30.330638485246123,Mano abierta
