MAV_total,VAR_total,RMS_total,Dedo_anular
495.38,260018.15037593985,509.2819503968308,Dedo anular
621.8453865336659,414964.46,643.3736363189157,Dedo anular
430.01745635910225,193141.7175,438.9305951191724,Dedo anular
450.48877805486285,217483.34,465.76924279214927,Dedo anular
646.4962593516209,458029.2125,675.9341647027977,Dedo anular
692.3890274314215,506633.72,710.8940105700281,Dedo anular
582.8179551122195,377110.76,613.3272651403886,Dedo anular
527.7306733167082,291376.13,539.1191948302471,Dedo anular
692.0,503398.46,708.6205629562191,Dedo anular
533.7331670822942,309217.5875,555.3795740947769,Dedo anular
621.2269326683291,401805.545,633.0904644358505,Dedo anular
617.9775561097257,420241.6025,647.4516340653295,Dedo anular
513.8304239401497,284709.22,532.9157737815021,Dedo anular
657.0673316708229,462569.675,679.2761843781524,Dedo anular
611.5361596009975,412166.115,641.2006466985847,Dedo anular
540.1047381546134,300667.83,547.6477288483156,Dedo anular
597.3865336658354,379191.69,615.0171337556113,Dedo anular
615.6284289276808,413094.8125,641.9226206271422,Dedo anular
515.8977556109726,272775.0375,521.62707032779,Dedo anular
464.70324189526184,226027.505,474.8303332628758,Dedo anular
502.18204488778053,262768.6875,511.97012021213203,Dedo anular
485.84788029925187,247471.9375,496.8448454988268,Dedo anular
479.21695760598504,238355.05,487.60706350405997,Dedo anular
473.4937655860349,232017.6275,481.08110535042533,Dedo anular
632.2568578553615,422980.4225,649.5580100951746,Dedo anular
466.3840399002494,222444.15,471.0514052987372,Dedo anular
460.39,219444.25563909774,467.8628484930172,Dedo anular
502.06234413965086,262995.0275,512.1905695648078,Dedo anular
505.3291770573566,271166.0375,520.0863514528919,Dedo anular
496.72568578553614,260985.1325,510.22965099855253,Dedo anular
499.9576059850374,267588.2675,516.6439442084672,Dedo anular
479.573566084788,248801.9475,498.1781747182287,Dedo anular
494.04738154613466,259204.3175,508.4859119909487,Dedo anular
499.18703241895264,264389.94,513.5470898236443,Dedo anular
479.91521197007484,245772.025,495.13546346635775,Dedo anular
460.46633416458855,229926.6325,478.9083935123278,Dedo anular
521.3216957605985,296946.965,544.248517570609,Dedo anular
496.29675810473816,264417.9425,513.5742849234796,Dedo anular
497.03990024937656,261343.1425,510.5794883904829,Dedo anular
473.96009975062344,234537.905,483.6869053880726,Dedo anular
475.3915211970075,238285.73,487.5361537843966,Dedo anular
503.9201995012469,272945.345,521.7898842367209,Dedo anular
542.0922693266833,312918.7875,558.6935129357676,Dedo anular
548.1820448877805,317128.1775,562.4387381436209,Dedo anular
611.7705735660847,389737.025,623.5103144451191,Dedo anular
635.2044887780548,427563.1975,653.0673434740245,Dedo anular
773.8229426433916,620285.3725,786.5993428579371,Dedo anular
636.5835411471322,438963.58,661.7166370363325,Dedo anular
438.0798004987531,199520.88,446.12029957821983,Dedo anular
490.19451371571074,253148.665,502.5110661180232,Dedo anular
730.354114713217,562598.83,749.1300557306472,Dedo anular
542.6832917705735,309028.19,555.2094614959865,Dedo anular
434.498753117207,197135.05,443.44496997542853,Dedo anular
455.77556109725685,217427.69,465.70964807401936,Dedo anular
487.44638403990024,253314.805,502.6759366200632,Dedo anular
458.5211970074813,220654.9675,469.15317939417275,Dedo anular
485.6857855361596,251152.92,500.52632647171697,Dedo anular
592.6783042394015,366811.095,604.8936717429875,Dedo anular
