MAV_total,VAR_total,RMS_total,Dedo_pulgar
239.32169576059852,59251.58,243.11277310926673,Dedo pulgar
290.8354114713217,88050.0825,296.3621201071654,Dedo pulgar
279.45137157107234,81743.66,285.5517649635797,Dedo pulgar
243.4563591022444,62983.235,250.65149027296815,Dedo pulgar
217.50374064837905,50276.6925,223.94489102112564,Dedo pulgar
230.48379052369077,55948.965,236.2402196843474,Dedo pulgar
224.2942643391521,52600.59,229.0620362671494,Dedo pulgar
203.2718204488778,42665.17,206.29777765970158,Dedo pulgar
223.9077306733167,52345.0425,228.50493700227565,Dedo pulgar
216.28179551122196,49066.5975,221.23344436981193,Dedo pulgar
215.68827930174564,48705.3175,220.41746268243267,Dedo pulgar
224.37655860349128,52889.5575,229.69036405919576,Dedo pulgar
222.50374064837905,51514.15,226.68411013023422,Dedo pulgar
263.77556109725685,72516.415,268.9527394540728,Dedo pulgar
280.4912718204489,83912.5625,289.3152333345092,Dedo pulgar
247.6059850374065,65028.49,254.68868092148537,Dedo pulgar
238.26683291770573,58647.9275,241.8711915807838,Dedo pulgar
283.8229426433915,87595.5725,295.5962274383935,Dedo pulgar
332.0498753117207,116950.805,341.55403248568433,Dedo pulgar
287.640897755611,90780.24,300.9216764568415,Dedo pulgar
278.6334164588529,84998.95,291.18204364905625,Dedo pulgar
354.1695760598504,134565.52,366.3740508512538,Dedo pulgar
294.6309226932668,93792.1375,305.87291788463693,Dedo pulgar
319.96758104738154,110786.6925,332.43107023690317,Dedo pulgar
320.9052369077307,110021.9375,331.2817057710154,Dedo pulgar
305.5211970074813,100621.275,316.81279823766914,Dedo pulgar
381.8952618453865,159888.71,399.3619724478114,Dedo pulgar
325.5785536159601,111862.0525,334.04055856002316,Dedo pulgar
306.81296758104736,99075.62,314.3700822731529,Dedo pulgar
301.0074812967581,99124.08,314.44695543215016,Dedo pulgar
255.38902743142145,67170.6025,258.8495600983171,Dedo pulgar
296.4189526184539,94822.89,307.5490594037797,Dedo pulgar
288.785536159601,92354.7275,303.52004292773296,Dedo pulgar
243.74064837905237,62165.735,249.0194936735404,Dedo pulgar
255.22942643391522,68565.0125,261.52251801980924,Dedo pulgar
354.20448877805484,133680.01,365.1665967630681,Dedo pulgar
374.79551122194516,155847.1625,394.2822798573077,Dedo pulgar
277.93017456359104,81280.17,284.7410688840423,Dedo pulgar
