MAV_total,VAR_total,RMS_total,Wav_Leng,Dasdv,Damv,iav,Dedo_anular
643.8217821782179,620982.9,784.1138657461972,5168,103.5410063694573,377.5747475737673,65026,Dedo anular
707.1782178217821,712230.89,839.7494263230556,4555,78.78521434888656,386.15371042054704,71425,Dedo anular
756.1188118811881,840829.8,912.416983881409,4927,90.78771943385294,468.4603470248013,76368,Dedo anular
617.2871287128713,524163.94,720.3986382689809,4238,70.11576142352018,308.16312126262136,62346,Dedo anular
639.2970297029703,589935.03,764.2604851154551,4671,77.55881639117503,356.14841682188046,64569,Dedo anular
705.1188118811881,677926.35,819.2766369919211,4608,75.52231458317469,354.54896578766807,71217,Dedo anular
571.4158415841584,480028.79,689.4026615142781,4037,79.69460458525407,296.56641505734734,57713,Dedo anular
726.8514851485148,733531.56,852.2140994416419,5963,98.68814518471811,392.5671992941869,73412,Dedo anular
735.3366336633663,801697.79,890.9322017520817,5059,102.57519193255258,465.3769238309968,74269,Dedo anular
564.4257425742575,464394.37,678.0828901694792,4090,75.75724387806093,284.4401529261837,57007,Dedo anular
739.4059405940594,764689.62,870.1255286701823,5412,99.91786627025219,409.40927360062716,74680,Dedo anular
608.4563106796116,566781.5,749.1854022805645,4839,79.3713659041483,367.94947685927036,62671,Dedo anular
618.2673267326733,558428.83,743.5723446196532,4314,72.61556307018489,349.69591216547406,62445,Dedo anular
561.7326732673267,494785.97,699.9193517898337,4622,89.63849619443647,343.62415449465743,56735,Dedo anular
711.5742574257425,714397.91,841.0259587945765,4203,66.59947447240106,401.2198804038821,71869,Dedo anular
548.8910891089109,452962.0,669.6844239810064,4097,70.49602825691672,301.59376531712576,55438,Dedo anular
717.1683168316831,719072.76,843.7732087017057,5354,83.44650981317314,396.00862660523467,72434,Dedo anular
591.7821782178218,544399.0,734.1722624092313,4202,83.18930219685701,363.1083227134595,59770,Dedo anular
708.5049504950495,716084.95,842.0184083498413,4428,84.35733518787801,401.1843936868935,71559,Dedo anular
740.4158415841584,816005.12,898.8469621610448,5223,93.7121656990169,472.3042838937359,74782,Dedo anular
598.8316831683169,534463.14,727.4416992052176,4133,78.1964832968849,342.21233212430167,60482,Dedo anular
693.0891089108911,700821.82,832.9963926086415,4909,88.58876903987323,420.7593373198706,70002,Dedo anular
537.2574257425742,424033.15,647.9466042662759,3458,60.980652669514775,280.56504264287804,54263,Dedo anular
728.3564356435644,790305.02,884.5791190288081,5246,107.71276618859996,464.16743456523864,73564,Dedo anular
614.5940594059406,556736.36,742.4446907426042,3902,64.65879677197837,346.6891481227331,62074,Dedo anular
646.8613861386139,654854.57,805.2147920810562,4730,83.43536420487418,422.13018331536136,65333,Dedo anular
599.0792079207921,525499.75,721.3160071551288,4154,70.60439079830658,327.2749730418587,60507,Dedo anular
722.6732673267327,756377.76,865.3836555465608,4907,88.57454487605341,434.70130379374564,72990,Dedo anular
606.4455445544554,531018.47,725.0936914538277,3986,63.15647235240423,324.25448485442604,61251,Dedo anular
817.7326732673267,911306.21,949.8859806511641,5438,89.17174440370671,438.1035192628173,82591,Dedo anular
605.5544554455446,568056.45,749.9547511102729,3972,74.65051908727762,360.78168806979704,61161,Dedo anular
933.3861386138614,1117603.76,1051.9212785363854,4998,93.44142550282503,454.65503382021365,94272,Dedo anular
650.0792079207921,633543.52,792.0043004183677,4713,97.35373644601424,392.48289383393796,65658,Dedo anular
702.039603960396,719446.76,843.9926094181602,4594,82.30759381733863,415.1987060092147,70906,Dedo anular
777.5445544554456,841695.22,912.8864135041096,5451,86.96786762937217,436.7352220370551,78532,Dedo anular
623.2574257425742,571415.17,752.1685941724807,4762,81.7810491495432,355.203215371042,62949,Dedo anular
727.57,745229.6464646464,858.9396661000119,4671,80.73832279454886,406.87819999999994,72757,Dedo anular
789.9009900990098,929032.38,959.0797879237996,5098,100.28250096602099,506.751691010685,79780,Dedo anular
617.1485148514852,558772.62,743.8011950930048,4150,76.6704636740903,343.8802078227624,62332,Dedo anular
785.2376237623762,874069.15,930.2768405157682,5664,94.32709048836395,463.97588471718467,79309,Dedo anular
627.5098039215686,572871.2475247525,753.163237781225,4211,79.16263495031748,339.3567858515954,64006,Dedo anular
844.8217821782179,960459.03,975.1664138255918,5577,96.91248629562654,447.49828448191346,85327,Dedo anular
769.8415841584158,869979.06,928.0977351230817,4821,87.90113764906572,479.7492402705617,77754,Dedo anular
678.9306930693069,674637.28,817.2867935861298,4665,78.88871909214905,394.32388981472405,68572,Dedo anular
790.2475247524752,868547.89,927.3340314798082,5626,94.57631838890748,439.8237427703168,79815,Dedo anular
615.9108910891089,580230.37,757.9482270257548,4854,90.91358534344579,381.22478188412913,62207,Dedo anular
831.3861386138614,961221.74,975.5535316266898,4742,77.68616350419165,469.8053132045878,83970,Dedo anular
777.9306930693069,883118.73,935.0801998748663,4797,96.06992245234717,490.5513184981865,78571,Dedo anular
628.049504950495,568584.29,750.3031004695752,4356,75.87397445764918,343.6706205273994,63433,Dedo anular
795.950495049505,875998.43,931.3029465312679,5588,107.02588471953877,440.695618076659,80391,Dedo anular
